id,sku,skuRemake,skuNumeric,gender,msrp
1019,DN64137-Coffee,"DN64137,Coffee",64137,MEN,
1020,DN64207-Black,"DN64207,Black",64207,MEN,
913,DN65207-Black/Brown,"DN65207,Black/Brown",65207,MEN,
958,DN65209-Black,"DN65209,Black",65209,MEN,
1173,E11486-Black,"E11486,Black",11486,MEN,
1178,E11502-Black,"E11502,Black",11502,MEN,
1184,E11503-L.Brown,"E11503,L.Brown",11503,MEN,
1195,E11905-D.Brown/Coffee,"E11905,D.Brown/Coffee",11905,MEN,
1196,E11905-D.Tan/Coffee,"E11905,D.Tan/Coffee",11905,MEN,
1197,E11906-D.Brown,"E11906,D.Brown",11906,MEN,
1214,E15102-Black,"E15102,Black",15102,MEN,
1216,E15103-Black,"E15103,Black",15103,MEN,
1283,E29302-D.Tan/D.Brown,"E29302,D.Tan/D.Brown",29302,MEN,
1284,E29305-D.Brown,"E29305,D.Brown",29305,MEN,
1285,E29305-D.Brown/D.Tan,"E29305,D.Brown/D.Tan",29305,MEN,
1376,E55216-Black/Tan,"E55216,Black/Tan",55216,MEN,
1423,E59212-Black,"E59212,Black",59212,MEN,
1465,E64107-Black,"E64107,Black",64107,MEN,
1472,E64118-Black,"E64118,Black",64118,MEN,
1473,E64120-Black,"E64120,Black",64120,MEN,
1531,E65107-Black,"E65107,Black",65107,MEN,
1533,E65108-Black,"E65108,Black",65108,MEN,
1687,E91227-Black,"E91227,Black",91227,MEN,
1701,E91360-Black,"E91360,Black",91360,MEN,
1729,E92223-Black,"E92223,Black",92223,MEN,
1756,E92302-D.Brown,"E92302,D.Brown",92302,MEN,
1765,E92306-Black,"E92306,Black",92306,MEN,
1769,E92406-Black,"E92406,Black",92406,MEN,
1770,E92406-Camel,"E92406,Camel",92406,MEN,
1820,E92702-D.Brown,"E92702,D.Brown",92702,MEN,
1821,E92702-D.Brown/Brown,"E92702,D.Brown/Brown",92702,MEN,
1838,E92912-D.Coffee/D.Tan,"E92912,D.Coffee/D.Tan",92912,MEN,
1846,E95201-Tan/D.Brown,"E95201,Tan/D.Brown",95201,MEN,
1860,E95301-Camel/D.Brown,"E95301,Camel/D.Brown",95301,MEN,
1861,E95301-Camel/L.Brown,"E95301,Camel/L.Brown",95301,MEN,
1863,E95303-D.Brown/Tan,"E95303,D.Brown/Tan",95303,MEN,
1868,E95306-Black/D.Brown,"E95306,Black/D.Brown",95306,MEN,
1869,E95306-D.brown,"E95306,D.Brown",95306,MEN,
1870,E95306-D.Brown/Black,"E95306,D.Brown/Black",95306,MEN,
1871,E95306-D.Brown/D.Tan,"E95306,D.Brown/D.Tan",95306,MEN,
1892,E95501-D.Tan,"E95501,D.Tan",95501,MEN,
1893,E95502-Black,"E95502,Black",95502,MEN,
1894,E95503-Black,"E95503,Black",95503,MEN,
1895,E95503-D.Brown,"E95503,D.Brown",95503,MEN,
1905,E95605-Black,"E95605,Black",95605,MEN,
1906,E95605-D.Brown/Black,"E95605,D.Brown/Black",95605,MEN,
1907,E95908-D.Brown,"E95908,D.Brown",95908,MEN,
